0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
46.6,41.33,42.18,44.37,37.67,39.7,40.59,43.26,49.66,70.05,76.79,84.1,94.74,96.8,97.17,101.27,126.6,149.97,146.33,140.28,121.88,102.61,95.12,83.11,34.73,34.39,34.36,34.1,29.56,33.97,34.52,41.8,48.95,60.01,70.09,66.26,64.54,46.96,49.06,74.99,88.15,95.4,86.71,71.27,54.12,46.16,46.29,32.93,13.2,19.92,19.87,13.24,13.29,9.24,37.55,88.76,122.93,110.17,93.38,90.73,82.37,80.9,80.99,98.05,120.55,139.57,134.69,114.82,92.91,72.39,39.45,34.4,39.99,37.14,36.66,38.64,41.02,93.97,130.17,182.64,174.61,185.44,185.32,178.04,178.08,175.28,174.7,180.93,166.69,185.32,180.5,153.88,146.81,128.75,112.96,84.11
34.73,34.39,34.36,34.1,29.56,33.97,34.52,41.8,48.95,60.01,70.09,66.26,64.54,46.96,49.06,74.99,88.15,95.4,86.71,71.27,54.12,46.16,46.29,32.93,13.2,19.92,19.87,13.24,13.29,9.24,37.55,88.76,122.93,110.17,93.38,90.73,82.37,80.9,80.99,98.05,120.55,139.57,134.69,114.82,92.91,72.39,39.45,34.4,39.99,37.14,36.66,38.64,41.02,93.97,130.17,182.64,174.61,185.44,185.32,178.04,178.08,175.28,174.7,180.93,166.69,185.32,180.5,153.88,146.81,128.75,112.96,84.11,93.87,51.69,50.04,49.53,50.07,93.39,99.16,101.15,129.56,121.09,135.05,129.99,131.97,130.67,121.39,122.42,137.28,148.09,139.88,135.75,119.93,98.09,118.71,97.29
13.2,19.92,19.87,13.24,13.29,9.24,37.55,88.76,122.93,110.17,93.38,90.73,82.37,80.9,80.99,98.05,120.55,139.57,134.69,114.82,92.91,72.39,39.45,34.4,39.99,37.14,36.66,38.64,41.02,93.97,130.17,182.64,174.61,185.44,185.32,178.04,178.08,175.28,174.7,180.93,166.69,185.32,180.5,153.88,146.81,128.75,112.96,84.11,93.87,51.69,50.04,49.53,50.07,93.39,99.16,101.15,129.56,121.09,135.05,129.99,131.97,130.67,121.39,122.42,137.28,148.09,139.88,135.75,119.93,98.09,118.71,97.29,93.29,80.77,78.08,81.97,89.31,89.75,97.06,193.79,228.92,212.9,215.5,231.9,226.0,209.2,216.06,230.77,245.95,274.11,273.44,240.02,217.91,203.31,171.31,124.7
39.99,37.14,36.66,38.64,41.02,93.97,130.17,182.64,174.61,185.44,185.32,178.04,178.08,175.28,174.7,180.93,166.69,185.32,180.5,153.88,146.81,128.75,112.96,84.11,93.87,51.69,50.04,49.53,50.07,93.39,99.16,101.15,129.56,121.09,135.05,129.99,131.97,130.67,121.39,122.42,137.28,148.09,139.88,135.75,119.93,98.09,118.71,97.29,93.29,80.77,78.08,81.97,89.31,89.75,97.06,193.79,228.92,212.9,215.5,231.9,226.0,209.2,216.06,230.77,245.95,274.11,273.44,240.02,217.91,203.31,171.31,124.7,128.92,116.65,100.54,99.47,101.74,114.99,140.19,152.64,160.97,161.85,161.37,166.06,166.54,165.97,165.36,185.15,201.56,243.11,247.72,187.5,160.5,157.95,153.9,144.76
93.87,51.69,50.04,49.53,50.07,93.39,99.16,101.15,129.56,121.09,135.05,129.99,131.97,130.67,121.39,122.42,137.28,148.09,139.88,135.75,119.93,98.09,118.71,97.29,93.29,80.77,78.08,81.97,89.31,89.75,97.06,193.79,228.92,212.9,215.5,231.9,226.0,209.2,216.06,230.77,245.95,274.11,273.44,240.02,217.91,203.31,171.31,124.7,128.92,116.65,100.54,99.47,101.74,114.99,140.19,152.64,160.97,161.85,161.37,166.06,166.54,165.97,165.36,185.15,201.56,243.11,247.72,187.5,160.5,157.95,153.9,144.76,153.03,146.08,144.64,145.74,146.97,146.88,146.56,147.18,153.66,156.07,159.08,158.5,158.79,156.07,156.18,158.89,161.0,189.9,170.71,140.08,105.07,104.85,104.8,90.05
93.29,80.77,78.08,81.97,89.31,89.75,97.06,193.79,228.92,212.9,215.5,231.9,226.0,209.2,216.06,230.77,245.95,274.11,273.44,240.02,217.91,203.31,171.31,124.7,128.92,116.65,100.54,99.47,101.74,114.99,140.19,152.64,160.97,161.85,161.37,166.06,166.54,165.97,165.36,185.15,201.56,243.11,247.72,187.5,160.5,157.95,153.9,144.76,153.03,146.08,144.64,145.74,146.97,146.88,146.56,147.18,153.66,156.07,159.08,158.5,158.79,156.07,156.18,158.89,161.0,189.9,170.71,140.08,105.07,104.85,104.8,90.05,85.03,84.4,80.24,55.46,49.29,50.64,74.29,84.44,97.26,119.97,134.96,145.82,157.14,154.66,154.88,158.37,186.37,223.3,243.19,209.65,155.07,159.38,148.23,144.79
128.92,116.65,100.54,99.47,101.74,114.99,140.19,152.64,160.97,161.85,161.37,166.06,166.54,165.97,165.36,185.15,201.56,243.11,247.72,187.5,160.5,157.95,153.9,144.76,153.03,146.08,144.64,145.74,146.97,146.88,146.56,147.18,153.66,156.07,159.08,158.5,158.79,156.07,156.18,158.89,161.0,189.9,170.71,140.08,105.07,104.85,104.8,90.05,85.03,84.4,80.24,55.46,49.29,50.64,74.29,84.44,97.26,119.97,134.96,145.82,157.14,154.66,154.88,158.37,186.37,223.3,243.19,209.65,155.07,159.38,148.23,144.79,144.28,138.09,133.81,136.44,142.99,152.09,231.74,299.95,313.92,315.0,310.41,310.08,300.0,297.01,299.96,306.45,302.73,315.47,310.82,294.98,261.03,242.23,211.83,150.09
153.03,146.08,144.64,145.74,146.97,146.88,146.56,147.18,153.66,156.07,159.08,158.5,158.79,156.07,156.18,158.89,161.0,189.9,170.71,140.08,105.07,104.85,104.8,90.05,85.03,84.4,80.24,55.46,49.29,50.64,74.29,84.44,97.26,119.97,134.96,145.82,157.14,154.66,154.88,158.37,186.37,223.3,243.19,209.65,155.07,159.38,148.23,144.79,144.28,138.09,133.81,136.44,142.99,152.09,231.74,299.95,313.92,315.0,310.41,310.08,300.0,297.01,299.96,306.45,302.73,315.47,310.82,294.98,261.03,242.23,211.83,150.09,151.9,148.05,144.4,144.15,145.79,151.49,231.44,291.51,300.02,297.16,275.67,264.4,252.59,248.38,248.89,271.23,282.98,308.81,308.32,279.2,174.7,158.21,155.06,149.7
85.03,84.4,80.24,55.46,49.29,50.64,74.29,84.44,97.26,119.97,134.96,145.82,157.14,154.66,154.88,158.37,186.37,223.3,243.19,209.65,155.07,159.38,148.23,144.79,144.28,138.09,133.81,136.44,142.99,152.09,231.74,299.95,313.92,315.0,310.41,310.08,300.0,297.01,299.96,306.45,302.73,315.47,310.82,294.98,261.03,242.23,211.83,150.09,151.9,148.05,144.4,144.15,145.79,151.49,231.44,291.51,300.02,297.16,275.67,264.4,252.59,248.38,248.89,271.23,282.98,308.81,308.32,279.2,174.7,158.21,155.06,149.7,147.62,145.09,143.67,143.41,144.31,146.02,213.87,266.63,292.9,285.71,268.88,252.44,193.76,143.19,133.35,132.59,132.67,139.38,124.59,105.78,21.01,20.14,18.12,13.62
144.28,138.09,133.81,136.44,142.99,152.09,231.74,299.95,313.92,315.0,310.41,310.08,300.0,297.01,299.96,306.45,302.73,315.47,310.82,294.98,261.03,242.23,211.83,150.09,151.9,148.05,144.4,144.15,145.79,151.49,231.44,291.51,300.02,297.16,275.67,264.4,252.59,248.38,248.89,271.23,282.98,308.81,308.32,279.2,174.7,158.21,155.06,149.7,147.62,145.09,143.67,143.41,144.31,146.02,213.87,266.63,292.9,285.71,268.88,252.44,193.76,143.19,133.35,132.59,132.67,139.38,124.59,105.78,21.01,20.14,18.12,13.62,13.09,11.4,10.57,10.47,10.86,13.23,15.33,21.01,25.63,25.62,25.61,24.22,21.41,18.22,17.68,18.82,19.66,36.3,23.66,19.82,18.06,17.82,14.92,11.49
