0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
44.9,39.59,37.78,35.43,37.29,41.41,42.78,60.24,60.42,49.62,47.57,44.64,43.33,42.61,42.05,42.31,43.28,44.98,42.93,39.71,37.11,34.24,33.21,27.39,19.43,15.82,19.0,24.14,27.0,35.94,40.96,54.51,60.64,54.96,56.5,57.88,59.64,54.94,50.31,54.23,61.5,64.12,60.4,53.58,50.3,40.71,37.75,34.62,33.03,32.43,31.58,30.84,31.68,36.81,41.87,46.21,56.14,47.71,46.23,43.82,41.22,40.04,39.47,41.17,45.91,55.49,54.51,48.1,47.14,40.88,40.02,38.03,37.3,36.91,36.98,39.44,42.16,45.34,58.6,81.34,91.0,89.27,89.63,91.05,88.91,89.24,86.04,91.21,99.94,103.14,92.38,87.7,74.58,62.74,59.82,55.6
19.43,15.82,19.0,24.14,27.0,35.94,40.96,54.51,60.64,54.96,56.5,57.88,59.64,54.94,50.31,54.23,61.5,64.12,60.4,53.58,50.3,40.71,37.75,34.62,33.03,32.43,31.58,30.84,31.68,36.81,41.87,46.21,56.14,47.71,46.23,43.82,41.22,40.04,39.47,41.17,45.91,55.49,54.51,48.1,47.14,40.88,40.02,38.03,37.3,36.91,36.98,39.44,42.16,45.34,58.6,81.34,91.0,89.27,89.63,91.05,88.91,89.24,86.04,91.21,99.94,103.14,92.38,87.7,74.58,62.74,59.82,55.6,48.98,48.66,47.7,46.6,48.0,51.52,62.97,79.86,96.64,100.16,99.94,89.11,81.2,78.52,79.04,78.87,84.02,99.5,98.02,95.01,77.2,67.18,63.19,55.42
33.03,32.43,31.58,30.84,31.68,36.81,41.87,46.21,56.14,47.71,46.23,43.82,41.22,40.04,39.47,41.17,45.91,55.49,54.51,48.1,47.14,40.88,40.02,38.03,37.3,36.91,36.98,39.44,42.16,45.34,58.6,81.34,91.0,89.27,89.63,91.05,88.91,89.24,86.04,91.21,99.94,103.14,92.38,87.7,74.58,62.74,59.82,55.6,48.98,48.66,47.7,46.6,48.0,51.52,62.97,79.86,96.64,100.16,99.94,89.11,81.2,78.52,79.04,78.87,84.02,99.5,98.02,95.01,77.2,67.18,63.19,55.42,53.09,51.65,49.88,49.84,49.51,48.52,48.74,51.43,60.0,63.96,63.77,62.13,55.01,50.66,49.48,50.65,59.12,65.01,66.4,63.76,57.47,52.98,53.2,48.17
37.3,36.91,36.98,39.44,42.16,45.34,58.6,81.34,91.0,89.27,89.63,91.05,88.91,89.24,86.04,91.21,99.94,103.14,92.38,87.7,74.58,62.74,59.82,55.6,48.98,48.66,47.7,46.6,48.0,51.52,62.97,79.86,96.64,100.16,99.94,89.11,81.2,78.52,79.04,78.87,84.02,99.5,98.02,95.01,77.2,67.18,63.19,55.42,53.09,51.65,49.88,49.84,49.51,48.52,48.74,51.43,60.0,63.96,63.77,62.13,55.01,50.66,49.48,50.65,59.12,65.01,66.4,63.76,57.47,52.98,53.2,48.17,46.49,44.82,44.99,45.54,45.8,45.42,45.7,46.5,47.42,51.13,56.5,59.94,55.51,52.82,49.95,53.48,60.6,67.05,72.0,67.78,62.45,55.56,52.13,46.9
48.98,48.66,47.7,46.6,48.0,51.52,62.97,79.86,96.64,100.16,99.94,89.11,81.2,78.52,79.04,78.87,84.02,99.5,98.02,95.01,77.2,67.18,63.19,55.42,53.09,51.65,49.88,49.84,49.51,48.52,48.74,51.43,60.0,63.96,63.77,62.13,55.01,50.66,49.48,50.65,59.12,65.01,66.4,63.76,57.47,52.98,53.2,48.17,46.49,44.82,44.99,45.54,45.8,45.42,45.7,46.5,47.42,51.13,56.5,59.94,55.51,52.82,49.95,53.48,60.6,67.05,72.0,67.78,62.45,55.56,52.13,46.9,43.85,45.83,45.59,45.94,44.83,46.44,59.72,74.53,78.92,75.65,72.03,66.39,60.06,57.7,59.41,57.39,54.54,59.94,55.08,51.42,46.97,45.63,42.95,37.83
53.09,51.65,49.88,49.84,49.51,48.52,48.74,51.43,60.0,63.96,63.77,62.13,55.01,50.66,49.48,50.65,59.12,65.01,66.4,63.76,57.47,52.98,53.2,48.17,46.49,44.82,44.99,45.54,45.8,45.42,45.7,46.5,47.42,51.13,56.5,59.94,55.51,52.82,49.95,53.48,60.6,67.05,72.0,67.78,62.45,55.56,52.13,46.9,43.85,45.83,45.59,45.94,44.83,46.44,59.72,74.53,78.92,75.65,72.03,66.39,60.06,57.7,59.41,57.39,54.54,59.94,55.08,51.42,46.97,45.63,42.95,37.83,36.75,35.94,34.74,35.96,36.7,38.14,41.59,46.68,56.5,54.5,52.73,54.5,52.21,52.11,52.37,51.34,51.89,56.04,52.75,45.39,41.41,39.75,36.66,31.23
46.49,44.82,44.99,45.54,45.8,45.42,45.7,46.5,47.42,51.13,56.5,59.94,55.51,52.82,49.95,53.48,60.6,67.05,72.0,67.78,62.45,55.56,52.13,46.9,43.85,45.83,45.59,45.94,44.83,46.44,59.72,74.53,78.92,75.65,72.03,66.39,60.06,57.7,59.41,57.39,54.54,59.94,55.08,51.42,46.97,45.63,42.95,37.83,36.75,35.94,34.74,35.96,36.7,38.14,41.59,46.68,56.5,54.5,52.73,54.5,52.21,52.11,52.37,51.34,51.89,56.04,52.75,45.39,41.41,39.75,36.66,31.23,30.33,28.4,27.27,26.77,28.85,31.91,35.7,40.09,41.25,38.9,38.01,37.95,37.92,36.84,36.8,37.99,39.33,50.16,56.14,39.34,35.69,32.19,29.49,25.3
43.85,45.83,45.59,45.94,44.83,46.44,59.72,74.53,78.92,75.65,72.03,66.39,60.06,57.7,59.41,57.39,54.54,59.94,55.08,51.42,46.97,45.63,42.95,37.83,36.75,35.94,34.74,35.96,36.7,38.14,41.59,46.68,56.5,54.5,52.73,54.5,52.21,52.11,52.37,51.34,51.89,56.04,52.75,45.39,41.41,39.75,36.66,31.23,30.33,28.4,27.27,26.77,28.85,31.91,35.7,40.09,41.25,38.9,38.01,37.95,37.92,36.84,36.8,37.99,39.33,50.16,56.14,39.34,35.69,32.19,29.49,25.3,24.85,21.49,20.85,19.97,21.51,24.58,27.47,35.32,37.23,35.29,33.01,33.38,33.69,35.34,36.22,36.61,37.93,39.52,37.22,35.71,32.01,30.08,27.43,24.09
36.75,35.94,34.74,35.96,36.7,38.14,41.59,46.68,56.5,54.5,52.73,54.5,52.21,52.11,52.37,51.34,51.89,56.04,52.75,45.39,41.41,39.75,36.66,31.23,30.33,28.4,27.27,26.77,28.85,31.91,35.7,40.09,41.25,38.9,38.01,37.95,37.92,36.84,36.8,37.99,39.33,50.16,56.14,39.34,35.69,32.19,29.49,25.3,24.85,21.49,20.85,19.97,21.51,24.58,27.47,35.32,37.23,35.29,33.01,33.38,33.69,35.34,36.22,36.61,37.93,39.52,37.22,35.71,32.01,30.08,27.43,24.09,12.45,13.92,11.08,11.8,19.48,26.93,32.23,37.66,41.51,39.62,38.62,37.46,36.39,35.83,35.27,35.18,35.71,36.22,35.47,33.35,29.33,27.83,26.77,25.4
30.33,28.4,27.27,26.77,28.85,31.91,35.7,40.09,41.25,38.9,38.01,37.95,37.92,36.84,36.8,37.99,39.33,50.16,56.14,39.34,35.69,32.19,29.49,25.3,24.85,21.49,20.85,19.97,21.51,24.58,27.47,35.32,37.23,35.29,33.01,33.38,33.69,35.34,36.22,36.61,37.93,39.52,37.22,35.71,32.01,30.08,27.43,24.09,12.45,13.92,11.08,11.8,19.48,26.93,32.23,37.66,41.51,39.62,38.62,37.46,36.39,35.83,35.27,35.18,35.71,36.22,35.47,33.35,29.33,27.83,26.77,25.4,25.85,24.97,29.79,30.32,31.25,32.25,42.4,45.88,50.0,56.92,58.15,58.95,56.63,52.0,51.0,53.65,58.3,63.09,66.13,63.29,58.16,52.8,51.2,47.18
