,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-01-02 04:00:00+01:00,37.55,3.2534618,-1.0202742,3.0215635,-0.9747757,0.23768324,162.58876,3.4096882,0.2393164956600043
2021-01-02 05:00:00+01:00,39.0,2.4907951,-1.6114779,2.339548,-1.523323,0.22898084,147.09822,2.9666348,0.0
2021-01-02 06:00:00+01:00,42.09,1.775445,-1.9177332,1.6823626,-1.7879925,0.21991354,132.79364,2.6134088,0.0
2021-01-02 07:00:00+01:00,44.96,1.0486612,-2.113037,1.0716352,-1.9778986,0.2124216,116.39436,2.358944,0.0
2021-01-02 08:00:00+01:00,48.45,0.39874268,-2.057888,0.4668455,-2.0152264,0.20575702,100.96593,2.0961628,0.0
2021-01-02 09:00:00+01:00,52.0,0.1287545,-1.811264,0.13395917,-1.8482475,0.19591486,94.06606,1.8158345,0.0
2021-01-02 10:00:00+01:00,52.0,-0.10599035,-1.8591404,-0.10757363,-1.8825617,0.1854477,86.73708,1.8621593,0.0
2021-01-02 11:00:00+01:00,52.15,-0.49469984,-3.0149984,-0.5349113,-2.973153,0.16779178,80.68197,3.055314,0.1721853506534086
2021-01-02 12:00:00+01:00,55.95,-1.2157001,-3.1491985,-1.169877,-3.0583696,0.17457706,68.891685,3.3757043,0.2322318640703543
2021-01-02 13:00:00+01:00,52.0,-1.7531071,-3.0320024,-1.7365284,-3.0041819,0.18058228,59.963463,3.5023453,0.2593615033623842
2021-01-02 14:00:00+01:00,50.69,-2.2584877,-3.0555964,-2.2125196,-3.0408754,0.18205452,53.53074,3.7996626,0.3311797094468589
2021-01-02 15:00:00+01:00,53.45,-2.6190424,-3.2708025,-2.5181427,-3.2203903,0.19488084,51.314575,4.190171,0.4441439893414181
2021-01-02 16:00:00+01:00,59.99,-2.9371023,-3.4556704,-2.7401934,-3.3329926,0.2097044,49.637573,4.5352206,0.5631497276255528
2021-01-02 17:00:00+01:00,62.0,-3.347867,-3.2290306,-3.0818768,-3.0795307,0.22227877,43.964844,4.651328,0.6075185510768574
2021-01-02 18:00:00+01:00,63.08,-3.8365173,-2.8490562,-3.557763,-2.7580347,0.22669345,36.598145,4.7787013,0.6588071117661697
2021-01-02 19:00:00+01:00,62.17,-4.343811,-2.740511,-4.021343,-2.6648188,0.230748,32.247833,5.1360583,0.8179343816518003
2021-01-02 20:00:00+01:00,60.03,-4.639943,-2.3329325,-4.299267,-2.3057146,0.23510468,26.692963,5.1934233,0.8456483011679153
2021-01-02 21:00:00+01:00,55.03,-4.526842,-1.6822033,-4.189229,-1.7067442,0.23460752,20.385406,4.8292966,0.6799551327083979
2021-01-02 22:00:00+01:00,52.25,-4.2118483,-1.9345579,-3.944479,-1.9621363,0.22439146,24.669952,4.634887,0.6010991784056279
2021-01-02 23:00:00+01:00,48.45,-4.0648794,-1.87848,-3.8678637,-1.9442444,0.22619092,24.802826,4.477938,0.5420793972106535
