,price[EUR/MWh],u100,v100,u10,v10,swh,wind_direction,wind_speed,power[MW]
2021-12-31 12:00:00+01:00,50.45,18.484955,2.9760103,12.994433,2.3232212,1.5559816,189.14594,18.722984,8.0
2021-12-31 13:00:00+01:00,51.64,17.67131,2.5430508,12.407492,2.0813227,1.602704,188.18912,17.853355,8.0
2021-12-31 14:00:00+01:00,52.92,17.290894,2.0295134,12.040005,1.8821259,1.5563774,186.69444,17.409594,8.0
2021-12-31 15:00:00+01:00,55.36,16.590363,1.2744837,11.608657,1.3014679,1.4020271,184.39287,16.639244,8.0
2021-12-31 16:00:00+01:00,95.06,15.59315,0.45648527,10.9399185,0.7552521,1.2552156,181.67683,15.599831,8.0
2021-12-31 17:00:00+01:00,105.07,14.785907,-0.98795897,10.410976,-0.27224582,1.157815,176.17732,14.818876,8.0
2021-12-31 18:00:00+01:00,94.78,12.994545,-1.7569752,9.1303425,-0.68010426,1.0549288,172.2998,13.112786,8.0
2021-12-31 19:00:00+01:00,48.01,12.357045,-1.3137302,8.804664,-0.25505978,0.9388273,173.93144,12.426683,8.0
2021-12-31 20:00:00+01:00,33.96,11.483405,-2.596778,8.269018,-1.1385908,0.84298664,167.25784,11.773354,8.0
2021-12-31 21:00:00+01:00,33.08,10.631004,-3.0836182,7.7417936,-1.3093138,0.7688486,163.82472,11.069189,8.0
2021-12-31 22:00:00+01:00,32.34,10.008885,-2.5177708,7.312601,-0.8019979,0.7126001,165.88,10.320705,6.636770011851686
2021-12-31 23:00:00+01:00,29.76,10.477974,-0.4097451,7.474552,0.62134814,0.6424133,177.76057,10.485983,6.9607503300624645
2022-01-01 00:00:00+01:00,46.6,10.9460335,-0.31709987,7.778578,0.5341431,0.61668545,178.34064,10.950625,7.927666876688741
2022-01-01 01:00:00+01:00,41.33,12.102527,-0.13618791,8.567503,0.59982455,0.6317311,179.35529,12.103293,8.0
2022-01-01 02:00:00+01:00,42.18,13.023972,-0.76101923,9.208566,0.062060844,0.69125664,176.65588,13.046186,8.0
2022-01-01 03:00:00+01:00,44.37,12.56216,-1.9776144,8.939354,-0.8837702,0.7268694,171.05356,12.716871,8.0
2022-01-01 04:00:00+01:00,37.67,11.785107,-2.7835293,8.469436,-1.4949064,0.73334646,166.71083,12.109366,8.0
2022-01-01 05:00:00+01:00,39.7,10.91927,-2.3178873,7.8335886,-1.1440945,0.7199161,168.01544,11.162574,8.0
2022-01-01 06:00:00+01:00,40.59,10.210242,-2.351512,7.2850084,-1.1922464,0.6695573,167.03041,10.477531,6.943933275995824
2022-01-01 07:00:00+01:00,43.26,10.210181,-2.1005745,7.265436,-0.9856797,0.6100652,168.37456,10.424021,6.838083908403525
2022-01-01 08:00:00+01:00,49.66,9.685845,-2.5387163,6.8893423,-1.270792,0.5708916,165.31284,10.013025,6.060724741836065
2022-01-01 09:00:00+01:00,70.05,8.540974,-2.8249903,6.1414785,-1.3663912,0.52170116,161.69798,8.996044,4.395247722969429
2022-01-01 10:00:00+01:00,76.79,7.9739904,-2.6886501,5.8562098,-1.1899166,0.47520006,161.36705,8.415068,3.5975054488904523
2022-01-01 11:00:00+01:00,84.1,5.90154,-3.0976295,4.376424,-1.4439526,0.42676026,152.3057,6.6650944,1.787506096241595
2022-01-01 12:00:00+01:00,94.74,5.5066338,-2.2949543,4.1486683,-0.77489173,0.3858446,157.37549,5.965721,1.2817917340745166
2022-01-01 13:00:00+01:00,96.8,5.8824234,-1.1382494,4.4002924,0.09283614,0.35244298,169.0486,5.991537,1.2985042609603443
2022-01-01 14:00:00+01:00,97.17,5.5701895,-0.29993564,3.9496775,0.6899293,0.32399273,176.9178,5.578259,1.047911591138814
2022-01-01 15:00:00+01:00,101.27,5.5515394,0.19918108,3.8251162,0.96626616,0.29703915,182.05481,5.5551114,1.0349203849069974
2022-01-01 16:00:00+01:00,126.6,4.970214,0.79734427,3.2854214,1.3625069,0.2746579,189.114,5.0337644,0.7700293291852884
2022-01-01 17:00:00+01:00,149.97,3.8941727,2.512186,2.383769,2.6641407,0.25849557,212.82663,4.634184,0.6008255731567862
